,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
RIL182_00030,16,16,10,0,1,0,17,53,30,0,0,0,0,9,0,0,0,0,53,50,16,197.237,90,84,7,33,33,18,0,23,4,2,2,6,0,0,0,0,0,31,11,37,7,10,9
RIL182_00031,20,20,39,7,14.008,15,27,21,21,2,3,1,0,0,0,0,79,0,242.752,271.472,159,1106.952,506.606,626.394,167.32,187.003,129,188,214.142,39,11,1,2,0,0,5,0,0,0,0,32,13,22,27,14.484
RIL182_00032,5,6,0,2,1.992,3,7,27,30,1,0,0,0,0,0,0,0,0,69.248,65.528,39,365.405,26.394,209.606,21.68,63.997,32,36,49.858,41,0,1,3,0,0,0,0,0,0,0,0,0,40,17,4.516
RIL182_00033,5,10,0,7,2,0,22,19,27,2,0,4,0,0,0,12,15,0,11,8,21,229.642,287,152,12,17,39,15,0,21,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",29,37,12,5,22,10,192,155,153,9,10,2,11,0,11,18,7,26,52,69,59,213,231,174,97,130,126,272,183,117,0,3,2,1,2,5,0,15,0,56,52,54,132,46,106
RIL182_00034,89,57,35,28,24,23,194,119,247,4,2,7,6,0,0,5,0,20,285,240.589,205,1853,1230,1061.926,166,214,313,350,250,172,6,4,26,3,0,5,0,0,14,39,64,0,69,76,121
RIL182_00035,7.609,3,11,0,0,0,15.761,31.83,7,0,0,0,0,0,0,0,0,18,31,36.999,6,159.823,103.4,38.468,17,29,27,60,22,0,0,1,0,3,0,0,0,0,0,0,0,0,9.072,10,9
"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",7.391,14,0,4,3,1,53.239,38.17,56,0,0,0,9,0,0,0,18,0,18,64.001,28,304.177,283.6,139.606,26,53,25,32,57,76,0,3,1,1,0,0,0,0,0,8,16,45,18.928,31,8
RIL182_00036,339,285,209,57,83,31,1582,1447,1810,22,30,29,60,49,18,250,109,34,1184,1192,1108,8321,2670,3720,1538,2207,1386,2806,1985,1148,27,41,52,8,29,43,20,56,38,559,552,500,2077,1294,1641
"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,6,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RIL182_00037,118,105,131,14,33,1,438,284,406,6,4,4,21,24,17,337,80,18,774.859,727,648,1416.537,762.869,688,848,944.381,443,791,633,285,19,17,24,8,12,5,22,4,0,424,423,433,740.835,646,674
RIL182_00038,46,44,21,2,13,0,251,298,186,2,6,0,0,0,0,88,0,44,256.141,208,198,685.463,406.131,348.998,330,376.619,173,317,302,204,4,4,18,3,13,0,9,0,23,59,143,144,325.165,194,245
RIL182_00039,2477,1558,1274,2300,1593,1869,8946,6530,11626,346,330,287,300,303,197,1091,454,244,3197,2487,2212,19521,7786.469,9668,3050,4759.067,3806,6973,5576,3138,154,246,318.001,51,23,30,0,48,18,743,708,880,2538,1665,2430
RIL182_00040,1312,772,585,1855,1003,952,2877,2460,4300,351,258,254,212,169,217,404,200,106,1250,754.215,651,3404,1905,1751,1028,1613,1732,1734,1245,1173,118,163,168,18,50,21,4,7,10,208,315,314,944,471,741
RIL182_00041,82.791,81.289,56,51.905,23.603,105.786,210.703,108.242,314,16,8,19,25,0,0,30.998,0,29,135,144,122,819.458,465.406,451.577,193.999,349.503,228,282,139,139,11,7,11,2,4,8,13,6,0,94,109.805,95,272,173.525,269
RIL182_00042,542.209,426.711,300,465.095,184.397,637.214,2448.297,1926.758,2396,52,59,55,77,59,43,279.002,165,110,1326,1047,898,9095.01,3440.594,4542.423,1292.026,2562.497,1761,3043,2086,862,53,56,99,29,34,30,2,94,4,436,407.195,693,1499,939.475,1321
"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",8,9,0,3,7,2,22,41,27,0,1,1,0,0,0,6,11,0,11,5,8,21,35,20,15,14,26,5,0,3,0,0,3,0,0,9,0,0,0,0,0,0,12,3,20
RIL182_00043,169,117,57,150,90.51,207,205,230,358.029,25,27,16,9,14,0,18,28,25,160,131,78,451,248.927,262,101,215.35,232,232,135,111.636,5,16,23,7,16,4,0,0,0,37,15,82,137,80,93
RIL182_00044,688,453,361,678,372.49,741,2677,2680,3765.971,93,93,89,81,57,150,122,90,141,754,618,490,4911.152,1938.327,2281,586,1091.65,1205,1640,942,655.364,41,64,97,19,22,24,6,0,11,237,281,166,657,437,612
RIL182_00045,1190,727,479,1316,693,1051,5086,4075,6204,135,145,120,104,182,174,266,129,180,1385,1074,748,11613,9615,6114,1271,2203,1923,2856,2450,1226,99,136,151,10,42,57,2,30,18,581,622,1107,1044,749,1028
RIL182_00046,4351.191,3711,2497,18420.898,12260,8478,2660,3274,4651,2401,2105,2757,1918,1602,1320,251,524,699,696,405,372,5176,2401,1398,2668,3763,1364,4892,2080,2424,440,627,530,285,502,313,15,8,24,114,147,132,553,350,285
RIL182_00047,8637.714,7797.059,2441,35788.254,26469.107,15745,3673,3594,5175,4158,3020,4679,2393,2079,1910,220,547,764,657,360,463,4793,5432,1794,4271,5871.096,1233,3704,472,1788,394,913,897,543,910,701,132,65,33,211,259,337,1042,866,870
RIL182_00049,2158,1379,1058,2787,1793,1602,1690,1327,2435,490,410,520,238,188,203,78,104,53,364,250,219,1020.55,1036,540,358,720,817,661,256,548,128,132,166,33,46,34,21,11,10,72,56,137,138,134,172
RIL182_00050,3710.124,2255,1745,3631,1861,2737,3186,3337,5353,325,233,262,67,259,70,173,107,84,905,496.821,551,1549,685,1040.502,773,1956.007,3136,1795,796,1393,194,298,482,48,66,38,0,12,0,130,106,217,670,514,570
RIL182_00051,143.614,119.99,102,67,72.999,25,144.664,154,203.031,15,4,4,35,0,0,13,26,23,65,41,33.49,211,154.022,138.744,120,131,120,118,58,56,12,7,15,6,0,3,16,8,4,56,12,46,179,100,163
RIL182_00052,95.386,90.01,26,59,52.001,21,81.336,83,96.969,3,3,19,22,25,0,46,11,0,68,51,36.51,101,153.978,40.254,81,80,68,74,15,53,9,5,10,0,0,4,0,0,0,0,92,22,95,77,108
RIL182_00053,275,221,80,142,173,58,73,87,89,34,25,27,34,9,0,22,6,0,65,54,44,169,123,128,175,175,112,102,13,126,22,15,18,6,3,7,1,13,0,38,46,83,314,272,208
RIL182_00054,413,460,214,222,301,401,164,227,392,62,68,42,18,21,0,22,23,14,276,188,260,258,127,190,212,304,205,43,55,51,15,46,57,6,4,7,0,0,0,52,21,61,181,125,114
RIL182_00055,297,268,164,180,255,278,143,171,194,53,40,38,6,25,62,28,23,6,163,126,146,244,191,154,210,348,289,117,20,85,24,41,62,15,19,7,0,0,0,70,73,2,243,174,151
RIL182_00056,382,241,229,50,99,67,94,93,80,2,8,7,8,25,0,17,35,0,104,83,83,152,123,70.355,53,87,133,38,60,42,28,17,24,2,2,0,0,0,0,11,8,0,30,29,53
RIL182_00057,354,265,75,68,80,41,98,118,140,10,5,5,0,26,0,11,55,0,111,166,145,226,169,188,102,123,107,87,16,78,5,26,39,0,3,1,0,0,0,14,19,40,94,66,58
RIL182_00058,223,195,189,51,74,19,84,152,131,10,4,9,2,10,0,0,53,5,136,95,82.088,184,224,143,50,150,52,18,63,0,11,25,7,0,0,0,13,0,0,24,17,0,81,86,71
RIL182_00059,728,460,285,159,220,74,269,209,333,32,18,17,38,10,0,45,37,42,332,298,349,514,749,406,142,235.271,303,117,64,165,40,58,107,1,6,7,11,0,0,110,71,213,198,142,158
RIL182_00060,200,188,31,177,129,148,83,95,212,12,15,13,13,0,13,43,0,10,108,112,128,157,148,71,111,146.729,70,57,7,42,13,13,25,1,0,1,0,0,0,11,0,18,39,21,112
RIL182_00061,85,70,59,16,8,26,130,331,255,1,6,2,1,13,0,6,32,0,280,224,143,1969,1207,1196,80,166,259,202,204,111,0,10,8,0,0,0,0,0,0,27,14,74,74,100,55
RIL182_00062,14,20,27,6,18,8,41,61,55,0,0,2,7,0,0,0,0,0,85,119,27,410.164,305,179,35,71,97,65,15,0,2,0,1,0,0,0,0,2,0,11,0,9,11,37,14
RIL182_00063,2059.096,1464.046,1098,1192,809,1571,2782,3040,5822,264,214,200,192,189,165,226,207,148,939,665,932,1861.264,1422,1131,859.155,1438,1539,1147,832,802,57,83,166,41,45,34,31,33,1,433,612,779,2597,1678,2139
RIL182_00064,1211,823,539,587,494,828,1058,1063,1712,203,113,156,190,159,85,178,102,153,477,405,484,1546,1125,886,661,682,911,762,355,435,31,50,144,29,30,29,46,22,0,428,431,593,1406,910,1231
RIL182_00065,18,22,5,9,2,6,31,16,21,2,5,3,3,0,0,0,0,0,8,34,16,44,61,23,6,14,11,17,21,28,0,0,4,1,0,0,0,0,0,0,8,0,17,17,40
RIL182_00066,34,29,3,8,14,7,29,68,46,3,3,0,0,0,0,0,10,0,100,56.013,37,101,79,35,18,33,0,13,37,0,0,0,0,1,0,0,0,0,0,21,27,0,13,19,41
RIL182_00067,52,61,12,38,14,44,37,64,113,1,1,8,9,4,10,4,53,0,65,78,73,335,188,94,36,41,30,38,32,55,0,4,5,1,2,1,4,0,0,11,16,0,106,66,88
RIL182_00068,15,13,0,18,5,13,0,0,24,1,0,2,0,0,0,0,0,0,37,42,29,3,37,6,6,10,14,2,0,0,5,1,0,0,0,0,0,0,0,0,9,0,46,44,37
RIL182_00069,100,98,42,98,39,29,111,142,91,13,8,15,32,44,0,5,21,0,220,182,156,249,183,199,72,76,109,48,47,59,4,3,12,0,0,2,0,0,0,19,18,82,146,134,132
RIL182_00070,116,93,46,72,15,39,18,24,55,4,1,7,0,0,0,6,3,19,30,49,39,100,134,51,33,45,24,80,9,39,4,11,11,2,5,0,0,8,0,41,25,50,90,70,78
RIL182_00071,46,33,3,31,29,21,21,47,49,6,5,10,0,0,0,3,0,0,43,55,38,124,86,77,21,28,38,21,0,18,1,8,1,0,0,0,0,0,0,0,12,55,78,48,78
RIL182_00072,37,27,10,22,15,28,30,50,28,3,3,3,0,0,0,0,37,0,119,90,63,367,223,82,31,43,45,24,8,46,1,7,2,0,0,0,0,0,0,0,20,11,24,19,18
RIL182_00073,36,36,46,20,7,18,21,44,28,8,0,0,0,0,0,19,0,0,146,93,83,120,57,25,30,50,49,43,22,37,0,2,4,0,0,0,8,0,0,0,8,29,75,36,12
RIL182_00074,25,18,13,25,36,12,87,35,61,3,0,6,2,0,0,3,33,0,58,49,23.264,65,127,74,18,11,23,15,18,0,0,4,7,0,0,0,0,0,0,21,26,19,50,17,31
RIL182_00075,20122.547,14550.984,10508,11560,12822,17143,5848,5073,7646,1214,939,830,906,539,444,1582,637,661,7279,7007,9475,10752,7195,8036,6670,11091.013,10794,5204,3255,5003,679,1348,1970,117,98,86,43,124,49,2245,1793,2692,2923,2041,2754
RIL182_00076,2637.182,2177.001,1112,1731,1795,1562,1420,1382,2889,146,97,140,169,164,97,302,242,186,1853,1634,2256,1950,1296,1445,1689,2068,1777,876,467,825,116,242,291,24,30,15,6,39,7,666,712,803,1260,1140,1104
RIL182_00077,2010,1463,997,1443,1711,2038,898,911,1531,204,172,137,129,52,54,168,128,44,904,812,1167,1508.736,931,1129.765,1019,1657,1600,829,366,901,110,192,304,28,14,7,0,0,0,260,285,235,678,386,683
RIL182_00078,13936.595,9104.146,6254,11764,10169,7649,9402,8234,13776,1787,1375,1303,973,598,582,1418,1001,900,4188,3146.874,4581,9687,7533,6159.782,6304.114,10794,11291,6332,3378,6256,690,1086,1556,129,130,137,57,96,62,3004,2468,3389,4931,3938,4468
"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,21,28,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,10,0,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
RIL182_00079,729,686,358,597,763,1000,104,211,480,104,95,122,121,65,47,697,69,40,823,728,918,525,375,398,1459.475,1463,743,922,430,969,49,58,63,63,86,69,2,25,37,724,732,558,3950,3365,3517
RIL182_00080,2451,2267,1251,2264,2671,3744,3902,2923,5496,582,467,640,828,600,471,2988,615,730,3672,3323,4230,3615,1899,2951,4287.162,4914,2761,3947,2140,3588,87,198,245,208,168,147,101,247,142,7564,7363,8912,17253,13408,15229
RIL182_00081,1049.072,693.542,313.041,1486.45,1100.603,686.087,491.196,398.798,838.117,378.804,341.075,288.071,186.012,165,150,139.051,134,56.205,588.732,602.38,446.635,961.549,1018.895,544.628,1077.086,2162.67,1180.015,746.691,330,712.017,26.957,157.628,171.383,58.245,26,35.699,0,20.84,33,275.188,313.793,345.897,1132.585,1020.012,724.813
RIL182_00082,12064.108,8799.711,6086.959,23140.55,13947.267,14917.913,33436.804,26816.202,43235.883,3530.445,3211.925,2718.929,4131.988,2872,2629,6149.949,2328,2337.795,9397.268,8932.62,10356.336,16602.419,16058.105,11941.927,12181.914,22399.33,19293.985,17684.309,10177,13428.983,933.043,1582.372,1847.617,404.755,473,380.301,576,800.16,372,15259.812,14125.207,17497.103,28746.415,20348.988,25516.079
RIL182_00083,8100.002,5270.337,1594,4129,9197,517,815,917.065,1611,110,99,109,144,197,146,146,31,125,1454,1155,1449,1558,1387.323,1681.155,1698,2850,1250,654,230,437,384,1021,1722,126,123,124,42,53,12,688,1038,512,2691,2116,1778
RIL182_00084,4782,5369.953,2258,2622,6578.996,528,248,399.935,867.996,57,56,53,81,107,45,242,34,33,4874,3528,5228.005,1339,958.677,1126.845,1487,1550,976,428,275,339,354,831,1225,123,84,85,39,7,72,898,1233,553,2854,2313,2166
RIL182_00085,5241.32,5048,2195,8800.013,8872,2617,3479,3236,4825,623,425,356,1671,575,608,738,1177,1361,2157,2141,1930,3111.716,4682,1912,2597,3960,3369,692,225,447,176,400,492,31,10,26,34,72,19,1880,1103,2001,1895,1357,1611
RIL182_00086,3497.199,2073.005,1135,5207,3052,3474,4889,4752,6760,1468,1068,1888,4892,3592,3290,290,2143,1509,936,617,427,1301,1510,1325,344,596,512,988,458,712,427,555,619,391,598,470,227,194,41,171,223,354,446,298,341
RIL182_00087,104,61,14,173,113.485,122,54,108,186,44,27,48,123,112,89,10,78.737,43,23,26,17.446,14.539,25,7,8,9,11,3,0,7,5,23,17,15,25,12,0,0,0,8,10,0,9,36,40
RIL182_00088,218,148,49,337,160.515,199,384,322,651.556,86,61.591,161,326.695,392,405,35,147.263,228,54,68,56.554,116.461,102,68,47,66,44,79,37,45,6,43,41,20,47,32,9,33,15,0,22,30,127,87,73
RIL182_00089,3316,3939,1896,1827,1651,2072,418,516,765.444,166,141.409,175,936.305,421,381,673,452,242,946,786,816,587,1414,518,1432,1953,670,323,113,262,41,89,114,24,27,18,56,59,54,652,346,665,361,241,361
RIL182_00090,1891,1422,989,3628,2044,2427,3279,3563,6653,950,809,1157,3561,3224,2991,492,1713,1507,1028,714,745,1135,899,1086,502,759,1092,833,577,552,268,297,336,151,222,168,75,60,24,243,287,312,725,481,465
RIL182_00091,944,595,393,1502,845,834,1560,1406,2334,470,299,642,2300,1189,1165,390,1117,895,387.359,259,209,399,544,300,161,182,192,262,127,197,81,146,136,83,69,118,89,71,31,387,317,312,424,366,339
RIL182_00092,11,4,10,17,2,5,22,13,19,7,3,7,58,23,22,0,3,49,1,3,9,0,10,0,2,1,0,8,0,0,0,6.994,0,0,1,0,0,0,0,0,0,0,0,0,0
RIL182_00093,100.861,58.026,24,109.048,65.597,104,94,146.248,73.529,31,52,54.414,248.524,139,87,11,66,39,10,7,11,20,0,16,7,6.002,15,12,0,0,12,4.006,19,3,1,7,4,10,0,10,0,0,3,0,2
RIL182_00094,51364.324,83028.888,39381,96633.252,105776.471,46471.918,2333,2413.752,4993.471,579,438,382.586,702.476,395,243,15229,184,208,39529.823,30053.053,24978.567,14283,34531,10083,101522.556,71724.25,14154,7677,6953,9694,698,652,721,50,77,35,47,122,39,4489,3367,4719,2169,2465,2879
RIL182_00095,600,377,221,1186,691,396,921,747,1146,266,254,411,1640,754,843,103,582,797,116,118,38,366,474,274,120,131,137,89,56,87,62,79,86,47,29,34,32,50,20,61,105,126,132,125,126
RIL182_00096,569,427,265,1628.052,794,698,1013,1051,1241,208.445,164,219.527,709.545,555,542,262,515,308,169,123,135,382,411,176,204,283,242,119,123,123,35,63.998,81,36.373,31,41,22,27,14,101,49,79,123,72,96
RIL182_00097,124.513,80.998,35.873,287.735,125.63,117,361,314.42,408.03,36.754,29,90.937,252.605,140,131,1,28,58,18.726,12,5,47,1.273,4.844,12.469,8,27,53,14,60,20.888,16.002,19,12.451,11.056,29,0,52.661,15,18,21,28,16,18,10
RIL182_00098,1209.487,531.002,476.127,1705.522,913.37,1357,2606,2398.58,3728.97,471.801,451,680.537,2508.85,2243,1743,91,585,739,427.274,244,239,819,676.727,646.156,127.531,252,263,391,94,286,148.112,175,231,124.176,186.944,137,15,89.339,31,38,86,158,263,164,201
RIL182_00099,850,492,317,1186,551,714,2029,1586,2569,584,569,809,3119,1904,1531,43,677,665,383,284,181,1231,1340.249,907.462,166,264,245,314,141,160,78,159,163,73,126,91,45,32,63,134,99,273,307,193,226
RIL182_00100,279,200,138,351,180,337,972,715,907,170,185,308,1410,704,649,26,357,269,183,156,109,371,544,193,80,94,122,116,14,80,60,51,52,16,35,7,0,48,32,133,63,92,47,34,46
RIL182_00101,169,107,81,164,128,184,185,178,367,97,78,170,468,317,288,14,174,222,91,83,37,78,81,39,13,46,48,56,10,4,11,15,32,13,31,16,0,0,0,6,29,32,55,46,52
RIL182_00102,5858.192,4580.147,1042,21343.224,11187.568,6464.297,484.355,790.944,1395.144,345.72,217.752,364.99,147.468,144,108,401.793,172.729,100,488,293,312.181,103,159.137,93.007,1058.453,844.68,189.475,76,50,152,18,9,4,45,70,48,12,34,9,191,145.139,83,1148.338,803.084,887
RIL182_00103,18171.421,12357.783,5699,83570.781,39928.916,32178.383,4117.645,3630.056,5320.856,2469.28,2053.248,2827.01,2453.532,1504,1440,1615.207,984.271,836,1492,1261,1378.819,694,1244.863,793.993,3395.547,3060.32,1280.525,526,82,1013,49,45,53,141,190,146,60,240,131,2364,1931.861,2452,3605.662,3104.916,3483
RIL182_00104,10100.589,6895.377,2686,54912.986,22147.946,19412.492,4856.36,3513.925,5387,1460.208,1766.375,2083.908,2013,1053.28,923.386,837,397,308,874,820.057,900,195,594,264,2032.024,2050.559,713,283,62,568,16,23,16,71,104,96,71,49,43,1573,1117.173,1772.292,1716.363,1326,1674
RIL182_00105,96,68,206,602,277,389,0,0,3,20,30,28,4,0,21,6,0,0,18,2,6,0,0,0,17,23,20,27,0,24,0,2,1,0,2,0,0,0,0,0,14,0,11,12,6
RIL182_00106,2891.143,1922.351,510.988,11698.603,5406.333,3467.462,446.536,429.872,782.221,443.611,371.097,433.003,215,118.72,122.614,246.585,93.59,125,1040.91,965.387,906.401,147.736,154.388,110.672,1171.092,925.31,195.86,70,17,119,13,11,19,21,15,16,0,16,12,140,126.816,134.936,447.868,513.704,554.228
RIL182_00107,4642.496,4192.539,2102.574,23811.457,11902.201,7930.185,2317.805,2306.99,3713.74,2122.837,1400.467,1887.234,908.523,597.5,436.999,981.135,374.233,300.604,4493.912,3272.349,2671.328,401.264,682.151,705.523,3332.334,2193.334,867.852,337,242,562,42,81.975,68,71.956,116,73,8,85.787,47.64,1015.584,1028.107,1302.641,1643.532,1417.704,1468.871
RIL182_00108,1090.158,773.194,381.438,5175.336,2691.248,1998.861,1828.299,923.213,1238.039,421.344,350.061,563.855,463.477,275.5,124.001,315.28,53.177,128.396,357.178,233.207,188.271,120,279.461,250.805,576.72,421.798,172.287,66,112,164,12,7.025,8,10.044,21,12,20,107.213,74.36,1154.416,643.904,1362.132,714.237,715.592,802.901
RIL182_00109,1468,866,431,3962,3056.246,1856,5569.456,6056,8226,823,681,801.39,9080.088,2854,2599,421,4028,3532,644,366,408,1714,3039,1697,252,394,301,541,290,286,145,207,261,152,253,185,113,362,297,637,303,646,145,89,133
RIL182_00110,294,154,81,583,364.754,174,1283.544,1321,1676,88,39,99.61,443.912,102,67,80,292,318,105,37,59,172,104,75,38,37,59,96,71,67,44,28,27,18,17,18,15,9,4,29,25,14,16,12,27
